# y[m],x[m] , colour (r,g,b in 0-255)
0,1930.0,255,255,255
0,1940.0,255,255,255
0,1950.0,255,255,255
0,1960.0,255,255,255
0,1970.0,255,255,255
0,1980.0,255,255,255
0,1990.0,255,255,255
0,2000.0,255,255,255
0,2010.0,255,255,255
0,2020.0,255,255,255
0,2030.0,255,255,255
0,2040.0,255,255,255
0,2050.0,255,255,255
0,2060.0,255,255,255
0,2070.0,255,255,255
0,2080.0,255,255,255
0,2090.0,255,255,255
0,2100.0,255,255,255
0,2110.0,255,255,255
0,2120.0,255,255,255
0,2130.0,255,255,255
0,2140.0,255,255,255
0,2150.0,255,255,255
0,2160.0,255,255,255
0,2170.0,255,255,255
0,2180.0,255,255,255
0,2190.0,255,255,255
0,2200.0,255,255,255
0,2210.0,255,255,255
0,2220.0,255,255,255
0,2230.0,255,255,255
0,2240.0,255,255,255
0,2250.0,255,255,255
0,2260.0,255,255,255
0,2270.0,255,255,255
0,2280.0,255,255,255
0,2290.0,255,255,255
0,2300.0,255,255,255
0,2310.0,255,255,255
0,2320.0,255,255,255
0,2330.0,255,255,255
0,2340.0,255,255,255
0,2350.0,255,255,255
0,2360.0,255,255,255
0,2370.0,255,255,255
0,2380.0,255,255,255
0,2390.0,255,255,255
0,2400.0,255,255,255
0,2410.0,255,255,255
0,2420.0,255,255,255
0,2430.0,255,255,255
0,2440.0,255,255,255
0,2450.0,255,255,255
0,2460.0,255,255,255
0,2470.0,255,255,255
0,2480.0,255,255,255
0,2490.0,255,255,255
0,2500.0,255,255,255
0,2510.0,255,255,255
0,2520.0,255,255,255
0,2530.0,255,255,255
0,2540.0,255,255,255
0,2550.0,255,255,255
0,2560.0,255,255,255
0,2570.0,255,255,255
0,2580.0,255,255,255
0,2590.0,255,255,255
0,2600.0,255,255,255
0,2610.0,255,255,255
0,2620.0,255,255,255
0,2630.0,255,255,255
0,2640.0,255,255,255
0,2650.0,255,255,255
0,2660.0,255,255,255
0,2670.0,255,255,255
0,2680.0,255,255,255
0,2690.0,255,255,255
0,2700.0,255,255,255
0,2710.0,255,255,255
0,2720.0,255,255,255
0,2730.0,255,255,255
0,2740.0,255,255,255
0,2750.0,255,255,255
0,2760.0,255,255,255
0,2770.0,255,255,255
0,2780.0,255,255,255
0,2790.0,255,255,255
0,2800.0,255,255,255
0,2810.0,255,255,255
0,2820.0,255,255,255
0,2830.0,255,255,255
0,2840.0,255,255,255
0,2850.0,255,255,255
0,2860.0,255,255,255
0,2870.0,255,255,255
0,2880.0,255,255,255
0,2890.0,255,255,255
0,2900.0,255,255,255
0,2910.0,255,255,255
0,2920.0,255,255,255
0,2930.0,255,255,255
0,2940.0,255,255,255
0,2950.0,255,255,255
0,2960.0,255,255,255
0,2970.0,255,255,255
0,2980.0,255,255,255
0,2990.0,255,255,255
0,3000.0,255,255,255
0,3010.0,255,255,255
0,3020.0,255,255,255
0,3030.0,255,255,255
0,3040.0,255,255,255
0,3050.0,255,255,255
0,3060.0,255,255,255
0,3070.0,255,255,255
0,3080.0,255,255,255
0,3090.0,255,255,255
0,3100.0,255,255,255
0,3110.0,255,255,255
0,3120.0,255,255,255
0,3130.0,255,255,255
0,3140.0,255,255,255
0,3150.0,255,255,255
0,3160.0,255,255,255
0,3170.0,255,255,255
0,3180.0,255,255,255
0,3190.0,255,255,255
0,3200.0,255,255,255
0,3210.0,255,255,255
0,3220.0,255,255,255
0,3230.0,255,255,255
0,3240.0,255,255,255
0,3250.0,255,255,255
0,3260.0,255,255,255
0,3270.0,255,255,255
0,3280.0,255,255,255
0,3290.0,255,255,255
0,3300.0,255,255,255
0,3310.0,255,255,255
0,3320.0,255,255,255
0,3330.0,255,255,255
0,3340.0,255,255,255
0,3350.0,255,255,255
0,3360.0,255,255,255
0,3370.0,255,255,255
0,3380.0,255,255,255
0,3390.0,255,255,255
0,3400.0,255,255,255
0,3410.0,255,255,255
0,3420.0,255,255,255
0,3430.0,255,255,255
0,3440.0,255,255,255
0,3450.0,255,255,255
0,3460.0,255,255,255
0,3470.0,255,255,255
0,3480.0,255,255,255
0,3490.0,255,255,255
0,3500.0,255,255,255
10.0,30,255,255,255
-10.0,30,255,255,255
11.5,30,255,255,255
-11.5,30,255,255,255
13.0,30,255,255,255
-13.0,30,255,255,255
10.0,60,255,255,255
-10.0,60,255,255,255
11.5,60,255,255,255
-11.5,60,255,255,255
13.0,60,255,255,255
-13.0,60,255,255,255
10.0,90,255,255,255
-10.0,90,255,255,255
11.5,90,255,255,255
-11.5,90,255,255,255
13.0,90,255,255,255
-13.0,90,255,255,255
10.0,120,255,255,255
-10.0,120,255,255,255
11.5,120,255,255,255
-11.5,120,255,255,255
13.0,120,255,255,255
-13.0,120,255,255,255
10.0,150,255,255,255
-10.0,150,255,255,255
11.5,150,255,255,255
-11.5,150,255,255,255
13.0,150,255,255,255
-13.0,150,255,255,255
10.0,180,255,255,255
-10.0,180,255,255,255
11.5,180,255,255,255
-11.5,180,255,255,255
13.0,180,255,255,255
-13.0,180,255,255,255
10.0,210,255,255,255
-10.0,210,255,255,255
11.5,210,255,255,255
-11.5,210,255,255,255
13.0,210,255,255,255
-13.0,210,255,255,255
10.0,240,255,255,255
-10.0,240,255,255,255
11.5,240,255,255,255
-11.5,240,255,255,255
13.0,240,255,255,255
-13.0,240,255,255,255
10.0,270,255,255,255
-10.0,270,255,255,255
11.5,270,255,255,255
-11.5,270,255,255,255
13.0,270,255,255,255
-13.0,270,255,255,255
10.0,300,255,255,255
-10.0,300,255,255,255
11.5,300,255,255,255
-11.5,300,255,255,255
13.0,300,255,255,255
-13.0,300,255,255,255
10.0,330,255,255,255
-10.0,330,255,255,255
11.5,330,255,255,255
-11.5,330,255,255,255
13.0,330,255,255,255
-13.0,330,255,255,255
10.0,360,255,255,255
-10.0,360,255,255,255
11.5,360,255,255,255
-11.5,360,255,255,255
13.0,360,255,255,255
-13.0,360,255,255,255
10.0,-30,255,0,0
-10.0,-30,255,0,0
-1.5,-30,255,255,255
11.5,-30,255,0,0
-11.5,-30,255,0,0
0.0,-30,255,255,255
13.0,-30,255,0,0
-13.0,-30,255,0,0
1.5,-30,255,255,255
10.0,-45,255,0,0
-10.0,-45,255,0,0
-1.5,-45,255,255,255
11.5,-45,255,0,0
-11.5,-45,255,0,0
0.0,-45,255,255,255
13.0,-45,255,0,0
-13.0,-45,255,0,0
1.5,-45,255,255,255
10.0,-60,255,0,0
-10.0,-60,255,0,0
-1.5,-60,255,255,255
11.5,-60,255,0,0
-11.5,-60,255,0,0
0.0,-60,255,255,255
13.0,-60,255,0,0
-13.0,-60,255,0,0
1.5,-60,255,255,255
10.0,-75,255,0,0
-10.0,-75,255,0,0
-1.5,-75,255,255,255
11.5,-75,255,0,0
-11.5,-75,255,0,0
0.0,-75,255,255,255
13.0,-75,255,0,0
-13.0,-75,255,0,0
1.5,-75,255,255,255
10.0,-90,255,0,0
-10.0,-90,255,0,0
-1.5,-90,255,255,255
11.5,-90,255,0,0
-11.5,-90,255,0,0
0.0,-90,255,255,255
13.0,-90,255,0,0
-13.0,-90,255,0,0
1.5,-90,255,255,255
10.0,-105,255,0,0
-10.0,-105,255,0,0
-1.5,-105,255,255,255
11.5,-105,255,0,0
-11.5,-105,255,0,0
0.0,-105,255,255,255
13.0,-105,255,0,0
-13.0,-105,255,0,0
1.5,-105,255,255,255
10.0,-120,255,0,0
-10.0,-120,255,0,0
-1.5,-120,255,255,255
11.5,-120,255,0,0
-11.5,-120,255,0,0
0.0,-120,255,255,255
13.0,-120,255,0,0
-13.0,-120,255,0,0
1.5,-120,255,255,255
10.0,-135,255,0,0
-10.0,-135,255,0,0
-1.5,-135,255,255,255
11.5,-135,255,0,0
-11.5,-135,255,0,0
0.0,-135,255,255,255
13.0,-135,255,0,0
-13.0,-135,255,0,0
1.5,-135,255,255,255
10.0,-150,255,0,0
-10.0,-150,255,0,0
-1.5,-150,255,255,255
11.5,-150,255,0,0
-11.5,-150,255,0,0
0.0,-150,255,255,255
13.0,-150,255,0,0
-13.0,-150,255,0,0
1.5,-150,255,255,255
10.0,-165,255,0,0
-10.0,-165,255,0,0
-1.5,-165,255,255,255
11.5,-165,255,0,0
-11.5,-165,255,0,0
0.0,-165,255,255,255
13.0,-165,255,0,0
-13.0,-165,255,0,0
1.5,-165,255,255,255
10.0,-180,255,0,0
-10.0,-180,255,0,0
-1.5,-180,255,255,255
11.5,-180,255,0,0
-11.5,-180,255,0,0
0.0,-180,255,255,255
13.0,-180,255,0,0
-13.0,-180,255,0,0
1.5,-180,255,255,255
10.0,-195,255,0,0
-10.0,-195,255,0,0
-1.5,-195,255,255,255
11.5,-195,255,0,0
-11.5,-195,255,0,0
0.0,-195,255,255,255
13.0,-195,255,0,0
-13.0,-195,255,0,0
1.5,-195,255,255,255
